"name: BTCUSDT, total: 1.2, profit: 1.2, lost: 0, win_ratio: 100.0, total_trade: 11, Currency_BBM: 1.7, BBlength: 240, win: 11, lose: 0, max_lost: 0, max_win: 0.55, Ave_profit: 0.109, Ave_loss: 0, Ave_trade: 0.109, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.2, lost: 0, win_ratio: 100.0, total_trade: 11, Currency_BBM: 1.7, BBlength: 260, win: 11, lose: 0, max_lost: 0, max_win: 0.57, Ave_profit: 0.112, Ave_loss: 0, Ave_trade: 0.112, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.2, lost: -0.0, win_ratio: 82.0, total_trade: 11, Currency_BBM: 1.7, BBlength: 280, win: 9, lose: 2, max_lost: -0.02, max_win: 0.57, Ave_profit: 0.139, Ave_loss: -0.012, Ave_trade: 0.111, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.7, profit: 1.4, lost: -0.7, win_ratio: 65.0, total_trade: 57, Currency_BBM: 1.8, BBlength: 60, win: 37, lose: 20, max_lost: -0.11, max_win: 0.17, Ave_profit: 0.038, Ave_loss: -0.035, Ave_trade: 0.013, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.8, profit: 1.3, lost: -0.6, win_ratio: 60.0, total_trade: 42, Currency_BBM: 1.8, BBlength: 80, win: 25, lose: 17, max_lost: -0.11, max_win: 0.17, Ave_profit: 0.053, Ave_loss: -0.033, Ave_trade: 0.018, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.8, profit: 1.0, lost: -0.2, win_ratio: 60.0, total_trade: 30, Currency_BBM: 1.8, BBlength: 100, win: 18, lose: 12, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.056, Ave_loss: -0.021, Ave_trade: 0.025, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.6, profit: 0.9, lost: -0.3, win_ratio: 61.0, total_trade: 23, Currency_BBM: 1.8, BBlength: 120, win: 14, lose: 9, max_lost: -0.09, max_win: 0.16, Ave_profit: 0.067, Ave_loss: -0.032, Ave_trade: 0.028, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.0, profit: 1.1, lost: -0.2, win_ratio: 70.0, total_trade: 23, Currency_BBM: 1.8, BBlength: 140, win: 16, lose: 7, max_lost: -0.05, max_win: 0.17, Ave_profit: 0.07, Ave_loss: -0.023, Ave_trade: 0.042, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.4, lost: -0.1, win_ratio: 67.0, total_trade: 21, Currency_BBM: 1.8, BBlength: 160, win: 14, lose: 7, max_lost: -0.04, max_win: 0.32, Ave_profit: 0.102, Ave_loss: -0.018, Ave_trade: 0.062, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.3, lost: -0.1, win_ratio: 82.0, total_trade: 17, Currency_BBM: 1.8, BBlength: 180, win: 14, lose: 3, max_lost: -0.04, max_win: 0.32, Ave_profit: 0.089, Ave_loss: -0.025, Ave_trade: 0.069, RSIoverSold: 50, RSIoverBought: 50, "
